Poster session,Poster board,Paper number,Presentation type,Primary topic,Title
Morning,305,349,poster,Interpretability for AI Safety,Step-Wise Refusal Dynamics in Autoregressive and Diffusion Language Models
Morning,306,399,poster,Interpretability for AI Safety,"Large Language Models Generate Harmful Content Using a Distinct, Unified Mechanism"
Morning,306,487,poster,Interpretability for AI Safety,User Persona Subspaces Modulate Refusal Behavior in Language Models
Morning,307,522,poster,Interpretability for AI Safety,Adaptive and interpretable two-sample test as a batch-level tool for AI safety
Morning,307,527,poster,Interpretability for AI Safety,The Channel Geometry of Refusal: Mechanistic Diagnosis of Alignment Collapse Under KV Quantization
Morning,308,627,poster,Interpretability for AI Safety,Why do Irrelevant Instructions Inhibit Refusal?
Morning,308,678,poster,Interpretability for AI Safety,LLM Jailbreaks Exploit Attention Sinks
Morning,309,746,poster,Interpretability for AI Safety,A Mechanistic View of  Authority Hierarchy in LLM Sycophancy
Morning,309,750,poster,Interpretability for AI Safety,Not All Eval-Awareness is Equal: Capabilities Framing Predicts Compliance
Morning,310,442,spotlight,Interpretability for AI Safety,Subliminal Learning is Non-Semantic Distillation
Morning,310,774,poster,Interpretability for AI Safety,Hidden-State Similarity Predicts Re-Elicitation After Inoculation Prompting
Morning,317,170,spotlight,Interpretability tooling and software,MultiSTEVE-1s: A Model Zoo and Interpretability Suite for Instruction-Following Vision Agents
Morning,311,406,fast track,Interpretability tooling and software,Geometry of Reason: Spectral Signatures of Valid Mathematical Reasoning
Morning,312,155,poster,"Methods (probing, steering, causal interventions)",Minionese: Comprehensive Benchmark and Mechanistic Study of Multilingual LLM Safety
Morning,312,165,poster,"Methods (probing, steering, causal interventions)",Unveiling Memorization–Generalization Coexistence: A Case Study on Arithmetic Tasks with Label Noise
Morning,313,294,spotlight,"Methods (probing, steering, causal interventions)",Analysis-by-Proxy: Localization Signals in VLMs Operating as Condition Encoders
Morning,313,511,poster,"Methods (probing, steering, causal interventions)",Mitigating Reward Hacking via Task Representations
Morning,314,651,spotlight,"Methods (probing, steering, causal interventions)",Language Models Learn Universal Representations of Numbers and Why You Should Care
Morning,315,80,fast track,Understanding high-level properties of models,Attention Sink Forges Native MoE in Attention Layers: Sink-Aware Training to Address Head Collapse
Morning,316,453,poster,Other,The Model Organism Lottery: Model Organism Interpretability Strongly Depends on Training Methodology
Afternoon,120,228,fast track,Applications of interpretability,Interpreting Physics in Video World Models
Afternoon,120,315,poster,Applications of interpretability,C-Δθ: Circuit-Restricted Weight Arithmetic for Selective Refusal
Afternoon,121,447,poster,Applications of interpretability,Designing Effective Monitor-Based Interventions for Mitigating Reward Hacking During RL
Afternoon,121,578,poster,Applications of interpretability,Towards Measuring and Detecting Unverbalized Evaluation Awareness
Afternoon,122,597,poster,Applications of interpretability,Masked Diffusion Training Induces Resampling-like Carry Representations in Addition
Afternoon,122,625,poster,Applications of interpretability,Mechanistic Interpretability of Adversarial Suffixes Reveals Non-Robust Shortcuts of Safety Monitors
Afternoon,123,637,poster,Applications of interpretability,Mechanistic Capability Probes as a Cheap Screen for Sequence-Mixer Architectures
Afternoon,123,646,poster,Applications of interpretability,Fine-Tuning Enhances Latent Metacognitive Capability in Language Models
Afternoon,124,729,poster,Applications of interpretability,Discovering Mechanisms in Tokenized Graph Transformers
Afternoon,124,737,poster,Applications of interpretability,Fine-tuning with Harmfulness Probes Leads to Natural Refusals
